ref_id,player,event_name,event_date,round,level,year,period,depth_label,needs_points,needs_shots,sofascore,sofascore_read_directly,sofascore_unobserved,sofascore_observed,live_tennis_api,live_tennis_api_june_sample,sackmann_pbp_copies,tennis_abstract_web,live_tennis_api_archive,sportradar,tdi_tennis_results,infront_itf,enetpulse,stats_perform,slam_feeds,atp_tracking
CH12:atp:2014/488/ms022:MM51,Jan Choinski,Germany F9,2014-07-21,R32,ITF main draw,2014,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/205/ms006:K760,Jan Choinski,Germany F10,2014-07-28,QF,ITF main draw,2014,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/205/ms012:TB79,Jan Choinski,Germany F10,2014-07-28,R16,ITF main draw,2014,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/205/ms025:PB97,Jan Choinski,Germany F10,2014-07-28,R32,ITF main draw,2014,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/232/ms001:H997,Jan Choinski,Germany F12,2014-08-11,F,ITF main draw,2014,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/232/ms003:HB31,Jan Choinski,Germany F12,2014-08-11,SF,ITF main draw,2014,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/232/ms006:LA01,Jan Choinski,Germany F12,2014-08-11,QF,ITF main draw,2014,2012-18,"Result, no statistics",True,True,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/232/ms013:W725,Jan Choinski,Germany F12,2014-08-11,R16,ITF main draw,2014,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/232/ms026:GC03,Jan Choinski,Germany F12,2014-08-11,R32,ITF main draw,2014,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/7111/ms001:CG32,Jan Choinski,Belgium F12,2014-08-18,F,ITF main draw,2014,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/7111/ms003:SS61,Jan Choinski,Belgium F12,2014-08-18,SF,ITF main draw,2014,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/7111/ms006:GC98,Jan Choinski,Belgium F12,2014-08-18,QF,ITF main draw,2014,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/7111/ms013:PF36,Jan Choinski,Belgium F12,2014-08-18,R16,ITF main draw,2014,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/7111/ms026:TG55,Jan Choinski,Belgium F12,2014-08-18,R32,ITF main draw,2014,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/3628/ms022:MA38,Jan Choinski,Trnava,2014-09-15,R32,Challenger main draw,2014,2012-18,Result + serve/return totals,True,True,False,False,False,True,False,False,True,False,0.553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/4085/ms016:N670,Jan Choinski,France F20,2014-09-22,R32,ITF main draw,2014,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/2136/ms014:F762,Jan Choinski,Germany F14,2014-09-29,R16,ITF main draw,2014,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/2136/ms029:HB04,Jan Choinski,Germany F14,2014-09-29,R32,ITF main draw,2014,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/2139/ms009:KC51,Jan Choinski,Germany F15,2014-10-06,R16,ITF main draw,2014,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/2139/ms018:N824,Jan Choinski,Germany F15,2014-10-06,R32,ITF main draw,2014,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/2140/ms022:W655,Jan Choinski,Germany F16,2014-10-13,R32,ITF main draw,2014,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/6668/ms025:MM56,Jan Choinski,Turkey F40,2014-11-10,R32,ITF main draw,2014,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/6676/ms002:RB00,Jan Choinski,Turkey F41,2014-11-17,SF,ITF main draw,2014,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/6676/ms005:CH05,Jan Choinski,Turkey F41,2014-11-17,QF,ITF main draw,2014,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/6676/ms010:V600,Jan Choinski,Turkey F41,2014-11-17,R16,ITF main draw,2014,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/6676/ms021:GJ37,Jan Choinski,Turkey F41,2014-11-17,R32,ITF main draw,2014,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/6677/ms000:V600,Jan Choinski,Turkey F42,2014-11-24,R32,ITF main draw,2014,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/114/ms000:AE14,Jan Choinski,Germany F1,2015-01-05,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/114/ms000:I236,Jan Choinski,Germany F1,2015-01-05,R16,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/120/ms000:H844,Jan Choinski,Germany F2,2015-01-12,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/179/ms000:I236,Jan Choinski,Germany F3,2015-01-19,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/3477/ms000:MM66,Jan Choinski,Turkey F4,2015-01-26,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/3625/ms000:RA24,Jan Choinski,Turkey F5,2015-02-02,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/265/ms031:MG08,Jan Choinski,France F4,2015-03-02,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/180/ms017:AC55,Jan Choinski,Great Britain F4,2015-03-16,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/522/ms003:CB14,Jan Choinski,Great Britain F5,2015-03-23,SF,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/522/ms007:F751,Jan Choinski,Great Britain F5,2015-03-23,QF,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/522/ms014:BK05,Jan Choinski,Great Britain F5,2015-03-23,R16,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/522/ms029:CG82,Jan Choinski,Great Britain F5,2015-03-23,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/308/qs025:BC72,Jan Choinski,Munich,2015-04-27,Q1,Tour qualifying,2015,2012-18,Result + serve/return totals,True,True,False,False,True,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/349/ms008:DA31,Jan Choinski,Sweden F2,2015-05-04,R16,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/349/ms017:BH94,Jan Choinski,Sweden F2,2015-05-04,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/460/ms018:CA99,Jan Choinski,Heilbronn,2015-05-11,R32,Challenger main draw,2015,2012-18,Result + serve/return totals,True,True,False,False,True,False,False,False,True,False,0.553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/805/ms007:MF78,Jan Choinski,Czech Republic F2,2015-05-18,QF,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/805/ms014:W715,Jan Choinski,Czech Republic F2,2015-05-18,R16,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/805/ms028:HH22,Jan Choinski,Czech Republic F2,2015-05-18,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/829/ms002:SE78,Jan Choinski,Czech Republic F3,2015-05-25,SF,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/829/ms005:MF78,Jan Choinski,Czech Republic F3,2015-05-25,QF,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/829/ms011:MI33,Jan Choinski,Czech Republic F3,2015-05-25,R16,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/829/ms023:HH36,Jan Choinski,Czech Republic F3,2015-05-25,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/396/qs009:E678,Jan Choinski,Furth,2015-06-01,Q2,Challenger qualifying,2015,2012-18,Missing,True,True,False,False,False,True,False,False,True,False,0.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/396/qs018:PG10,Jan Choinski,Furth,2015-06-01,Q1,Challenger qualifying,2015,2012-18,Missing,True,True,False,False,False,True,False,False,True,False,0.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/321/qs011:B678,Jan Choinski,Stuttgart,2015-06-08,Q2,Tour qualifying,2015,2012-18,Result + serve/return totals,True,True,True,True,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/321/qs022:KB43,Jan Choinski,Stuttgart,2015-06-08,Q1,Tour qualifying,2015,2012-18,Result + serve/return totals,True,True,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/795/ms009:W586,Jan Choinski,Netherlands F1,2015-06-15,R16,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/795/ms018:VA27,Jan Choinski,Netherlands F1,2015-06-15,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/4066/ms004:N661,Jan Choinski,Belgium F3,2015-06-22,QF,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/4066/ms009:DH45,Jan Choinski,Belgium F3,2015-06-22,R16,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/4066/ms019:MN85,Jan Choinski,Belgium F3,2015-06-22,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/6156/ms023:CA33,Jan Choinski,Marburg,2015-06-29,R32,Challenger main draw,2015,2012-18,Result + serve/return totals,True,True,False,False,False,True,False,False,True,False,0.553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/572/ms012:Z349,Jan Choinski,Germany F7,2015-07-13,R16,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/572/ms025:PL54,Jan Choinski,Germany F7,2015-07-13,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/551/ms001:N663,Jan Choinski,Germany F8,2015-07-20,F,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/551/ms002:F591,Jan Choinski,Germany F8,2015-07-20,SF,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/551/ms004:V691,Jan Choinski,Germany F8,2015-07-20,QF,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/551/ms009:O456,Jan Choinski,Germany F8,2015-07-20,R16,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/551/ms019:PB97,Jan Choinski,Germany F8,2015-07-20,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/488/ms013:V691,Jan Choinski,Germany F9,2015-07-27,R16,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/488/ms027:DB61,Jan Choinski,Germany F9,2015-07-27,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/205/ms001:DA31,Jan Choinski,Germany F10,2015-08-03,F,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/205/ms003:L996,Jan Choinski,Germany F10,2015-08-03,SF,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/205/ms006:A725,Jan Choinski,Germany F10,2015-08-03,QF,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/205/ms012:O484,Jan Choinski,Germany F10,2015-08-03,R16,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/205/ms024:WB25,Jan Choinski,Germany F10,2015-08-03,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/6876/ms006:BL05,Jan Choinski,Belgium F10,2015-08-10,QF,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/6876/ms013:O482,Jan Choinski,Belgium F10,2015-08-10,R16,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/6876/ms027:BP62,Jan Choinski,Belgium F10,2015-08-10,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/1698/ms028:H997,Jan Choinski,Netherlands F5,2015-08-17,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/6201/ms004:MH16,Jan Choinski,Netherlands F6,2015-08-24,QF,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/6201/ms008:CD00,Jan Choinski,Netherlands F6,2015-08-24,R16,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/6201/ms017:V750,Jan Choinski,Netherlands F6,2015-08-24,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/812/ms012:H997,Jan Choinski,France F18,2015-09-14,R16,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/812/ms024:PL93,Jan Choinski,France F18,2015-09-14,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/813/ms002:A789,Jan Choinski,France F19,2015-09-21,SF,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/813/ms005:V886,Jan Choinski,France F19,2015-09-21,QF,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/813/ms011:AC55,Jan Choinski,France F19,2015-09-21,R16,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/813/ms023:RH54,Jan Choinski,France F19,2015-09-21,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/4085/ms001:HH26,Jan Choinski,France F20,2015-09-28,F,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/4085/ms003:GF95,Jan Choinski,France F20,2015-09-28,SF,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/4085/ms006:CN78,Jan Choinski,France F20,2015-09-28,QF,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/4085/ms013:WA94,Jan Choinski,France F20,2015-09-28,R16,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/4085/ms027:LC13,Jan Choinski,France F20,2015-09-28,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/2139/ms001:MJ71,Jan Choinski,Germany F15,2015-10-05,F,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/2139/ms002:K909,Jan Choinski,Germany F15,2015-10-05,SF,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/2139/ms005:GC03,Jan Choinski,Germany F15,2015-10-05,QF,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/2139/ms011:HB31,Jan Choinski,Germany F15,2015-10-05,R16,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/2139/ms023:SU13,Jan Choinski,Germany F15,2015-10-05,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,False,False,True,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/7164/ms006:AD41,Jan Choinski,Norway F1,2015-10-19,QF,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/7164/ms013:SL51,Jan Choinski,Norway F1,2015-10-19,R16,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2015/7164/ms027:W642,Jan Choinski,Norway F1,2015-10-19,R32,ITF main draw,2015,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
