# player: Gabriele Piraino | sofascore_id: 381399 | how verified: search/all?q=Gabriele%20Piraino -> single team result: id 381399, slug piraino-gabriele, sport Tennis, gender M, country Italy, type 1 (singles), nameCode PIR; no other team/player candidates in results; birth date not shown in search payload (not checked against 2003-11-12)
# page 0 | COUNT=22 TRUNCATED=yes HASNEXT=absent
16126024 | 1777990200 | Francavilla, Italy | Challenger | Round of 32 | Martin Krumich | Gabriele Piraino | 1 | false | 1 | finished | 2 | 0
16295729 | 1781022410 | ITF M15 Messina Men | ITF Men | Round of 32 | Gabriele Piraino | Daniele Rapagnetta | 1 | false | absent | finished | 2 | 1
16301507 | 1781095161 | ITF M15 Messina Men | ITF Men | Round of 16 | Gabriele Piraino | Sebastiano Cocola | 1 | false | absent | finished | 2 | 1
16307056 | 1781179973 | ITF M15 Messina Men | ITF Men | Quarterfinals | Gabriele Piraino | Jacopo Bilardo | 1 | false | absent | finished | 2 | 1
16314169 | 1781274501 | ITF M15 Messina Men | ITF Men | Semifinals | Gabriele Piraino | Marcel Zielinski | 1 | false | absent | finished | 2 | 0
16320395 | 1781363606 | ITF M15 Messina Men | ITF Men | Final | Gabriele Piraino | Fausto Tabacco | 2 | false | absent | finished | 0 | 2
16376901 | 1782210900 | Plovdiv, Bulgaria | Challenger | Round of 32 | Gabriele Piraino | Lorenzo Angelini | 1 | false | 1 | finished | 1 | 2
16628326 | 1785069900 | San Marino, San Marino, Qualifying | Challenger | Qualification Round 1 | Jozef Kovalik | Gabriele Piraino | 1 | false | 2 | finished | 2 | 1
16693901 | 1785868200 | Plovdiv 2, Bulgaria | Challenger | Round of 32 | Gabriele Piraino | Carlo Alberto Caniato | 1 | false | 2 | finished | 2 | 1
16661825 | 1786029300 | Plovdiv 2, Bulgaria | Challenger | Round of 16 | Gabriele Piraino | Ognjen Milić | 1 | false | 2 | finished | 2 | 0
16661828 | 1786104000 | Plovdiv 2, Bulgaria | Challenger | Quarterfinals | Gerard Campana Lee | Gabriele Piraino | 2 | false | 2 | finished | 0 | 2
# page 1 | COUNT=20 TRUNCATED=yes HASNEXT=absent
14809532 | 1759392000 | ITF M25 Santa Margherita di Pula 9 Men | ITF Men | Quarterfinals | Alexander Weis | Gabriele Piraino | 2 | false | 2 | finished | 0 | 0
14816687 | 1759478400 | ITF M25 Santa Margherita di Pula 9 Men | ITF Men | Semifinals | Gabriele Piraino | Michele Ribecai | 2 | false | 1 | finished | 1 | 2
14840831 | 1759833000 | ITF M25 Santa Margherita di Pula 10 Men | ITF Men | Round of 32 | Gabriele Piraino | Niccolo Catini | 1 | false | 2 | finished | 2 | 0
14846739 | 1759914000 | ITF M25 Santa Margherita di Pula 10 Men | ITF Men | Round of 16 | Daniel Aleksandar Amarandei | Gabriele Piraino | 1 | false | absent | finished | 2 | 1
14854770 | 1760004900 | ITF M25 Santa Margherita di Pula 10 Men | ITF Men | Quarterfinals | Gabriele Piraino | Massimo Giunta | 2 | false | 1 | finished | 1 | 2
15107679 | 1763458200 | Montemar, Spain | Challenger | Round of 32 | Gabriele Piraino | Adrien Burdet | 1 | false | 1 | finished | 2 | 0
15042524 | 1763655300 | Montemar, Spain | Challenger | Round of 16 | Daniel Merida | Gabriele Piraino | 2 | false | 2 | finished | 1 | 2
15042532 | 1763728200 | Montemar, Spain | Challenger | Quarterfinals | Gabriele Piraino | Gianluca Cadenasso | 2 | false | 1 | finished | 0 | 2
15325710 | 1767774600 | ITF M25 Antalya Men | ITF Men | Round of 32 | Gabriele Piraino | Panya Stauffer | 1 | false | absent | finished | 2 | 0
15327032 | 1767861600 | ITF M25 Antalya Men | ITF Men | Round of 16 | Gabriele Piraino | Evgenii Tiurnev | 2 | false | 2 | finished | 1 | 2
15359394 | 1768298700 | ITF M25 Antalya 2 Men | ITF Men | Round of 32 | Manuel Mazza | Gabriele Piraino | 2 | false | absent | finished | 0 | 2
15358725 | 1768314600 | ITF M25 Antalya 2 Men Doubles | ITF Men | Round of 16 | Dumitru A C / Neos E | Mazza M / Piraino G | 1 | false | 1 | finished | 2 | 0
15370091 | 1768460400 | ITF M25 Antalya 2 Men | ITF Men | Round of 16 | Dušan Obradović | Gabriele Piraino | 1 | false | absent | finished | 2 | 0
15398326 | 1769000400 | ITF M25 Antalya 3 Men | ITF Men | Round of 32 | Gabriele Piraino | Alan Wazny | 1 | false | absent | finished | 2 | 1
15407159 | 1769437800 | ITF M25 Antalya 3 Men | ITF Men | Round of 16 | Gabriele Piraino | Lucca Helguera Casado | absent | true | absent | canceled | absent | absent
15460040 | 1770042600 | Tenerife, Spain | Challenger | Round of 32 | Alibek Kachmazov | Gabriele Piraino | 2 | false | 1 | finished | 1 | 2
15440880 | 1770199200 | Tenerife, Spain | Challenger | Round of 16 | Gabriele Piraino | Stefano Travaglia | 2 | false | 1 | finished | 0 | 2
15505448 | 1770557100 | Tenerife 2, Spain, Qualifying | Challenger | Qualification Round 1 | Szymon Kielan | Gabriele Piraino | 2 | false | 1 | finished | 0 | 2
15510124 | 1770637800 | Tenerife 2, Spain, Qualifying | Challenger | Qualification Final | Hynek Barton | Gabriele Piraino | 2 | false | 1 | finished | 0 | 2
15515745 | 1770717600 | Tenerife 2, Spain | Challenger | Round of 32 | Lloyd Harris | Gabriele Piraino | 1 | false | 1 | finished | 2 | 0
# page 2 | COUNT=22 TRUNCATED=yes HASNEXT=absent
13937365 | 1748166600 | Vicenza, Italy, Qualifying | Challenger | Qualification Round 1 | Gabriele Piraino | Joel Schwaerzler | 2 | false | 2 | finished | 0 | 2
13967770 | 1748966400 | ITF M15 Caltanissetta Men | ITF Men | Round of 32 | Gabriele Piraino | Massimo Pizzigoni | 1 | false | absent | finished | 2 | 0
13973105 | 1749110400 | ITF M15 Caltanissetta Men | ITF Men | Round of 16 | Gabriele Piraino | Manuel Mazza | 2 | false | absent | finished | 1 | 2
13983217 | 1749374100 | Perugia, Italy, Qualifying | Challenger | Qualification Round 1 | Gabriele Piraino | Manuel Guinard | 1 | false | 1 | finished | 2 | 1
13985290 | 1749457800 | Perugia, Italy, Qualifying | Challenger | Qualification Final | Lucio Ratti | Gabriele Piraino | 2 | false | 1 | finished | 1 | 2
13988458 | 1749548700 | Perugia, Italy | Challenger | Round of 32 | Andrea Pellegrino | Gabriele Piraino | 1 | false | 2 | finished | 2 | 1
14010383 | 1749974400 | Sassuolo, Italy, Qualifying | Challenger | Qualification Round 1 | Gabriele Piraino | Marco Cecchinato | 2 | false | 2 | finished | 0 | 2
14037122 | 1750690800 | Milan, Italy | Challenger | Round of 32 | Dino Prizmić | Gabriele Piraino | 1 | false | 1 | finished | 2 | 0
14066687 | 1751204100 | Modena, Italy, Qualifying | Challenger | Qualification Round 1 | Gabriele Piraino | Toby Alex Kodat | 2 | false | 2 | finished | 0 | 2
14181900 | 1752692400 | ITF M15 Gubbio Men | ITF Men | Round of 32 | Lorenzo Beraldo | Gabriele Piraino | 2 | false | absent | finished | 0 | 2
14199462 | 1752748200 | ITF M15 Gubbio Men | ITF Men | Round of 16 | Lorenzo Lorusso | Gabriele Piraino | 2 | false | 1 | finished | 0 | 2
14209684 | 1752865200 | ITF M15 Gubbio Men | ITF Men | Quarterfinals | Michele Ribecai | Gabriele Piraino | 2 | false | 2 | finished | 0 | 2
14218785 | 1752951600 | ITF M15 Gubbio Men | ITF Men | Semifinals | Samuele Pieri | Gabriele Piraino | 2 | false | absent | finished | 1 | 2
14228040 | 1753038000 | ITF M15 Gubbio Men | ITF Men | Final | Andrea Meduri | Gabriele Piraino | 2 | false | absent | finished | 0 | 2
14298093 | 1753788600 | ITF M25 Wetzlar Men | ITF Men | Round of 32 | Marko Maksimovic | Gabriele Piraino | 2 | false | absent | finished | 1 | 2
14312681 | 1753970400 | ITF M25 Wetzlar Men | ITF Men | Round of 16 | Vincent Marysko | Gabriele Piraino | 2 | false | 1 | finished | 1 | 2
14322175 | 1754056800 | ITF M25 Wetzlar Men | ITF Men | Quarterfinals | Imanol Lopez Morillo | Gabriele Piraino | 2 | false | 1 | finished | 0 | 2
14331590 | 1754121600 | ITF M25 Wetzlar Men | ITF Men | Semifinals | Cezar Cretu | Gabriele Piraino | 2 | false | 1 | finished | 0 | 2
14339402 | 1754215200 | ITF M25 Wetzlar Men | ITF Men | Final | Gabriele Piraino | Raphael Perot | 1 | false | absent | finished | 2 | 1
14339492 | 1754403600 | Cordenons, Italy | Challenger | Round of 32 | Gabriele Piraino | Jelle Sels | 1 | false | 1 | finished | 2 | 0
14311073 | 1754585400 | Cordenons, Italy | Challenger | Round of 16 | Lukas Neumayer | Gabriele Piraino | 1 | false | 1 | finished | 2 | 0
14580762 | 1756636366 | Genoa, Italy, Qualifying | Challenger | Qualification Round 1 | Gabriele Piraino | Filippo Romano | 1 | false | 1 | finished | 2 | 0
# page 3 | COUNT=21 TRUNCATED=yes HASNEXT=absent
13097219 | 1731074100 | San Gregorio di Catania, Singles M, M-ITF-ITA-36A | ITF Men | Quarterfinals | Gabriele Piraino | Lorenzo Giustino | 1 | false | 2 | finished | 2 | 1
13102713 | 1731175200 | San Gregorio di Catania, Singles M, M-ITF-ITA-36A | ITF Men | Semifinals | Kirill Kivattsev | Gabriele Piraino | 2 | false | absent | finished | absent | absent
13107591 | 1731234600 | San Gregorio di Catania, Singles M, M-ITF-ITA-36A | ITF Men | Final | Gianluca Cadenasso | Gabriele Piraino | 1 | false | 1 | finished | 2 | 0
13113523 | 1731596100 | San Gregorio di Catania, Singles M, M-ITF-ITA-37A | ITF Men | Round of 32 | Gabriele Piraino | Fausto Tabacco | 2 | false | 1 | finished | 1 | 2
13365146 | 1737450000 | ITF M15 Antalya 3 Men | ITF Men | Round of 32 | Gabriele Piraino | Eero Vasa | 1 | false | absent | finished | 2 | 0
13373983 | 1737626400 | ITF M15 Antalya 3 Men | ITF Men | Round of 16 | Gabriele Piraino | Amr Elsayed | 1 | false | absent | finished | 2 | 0
13382129 | 1737703800 | ITF M15 Antalya 3 Men | ITF Men | Quarterfinals | Rodrigo Pacheco Mendez | Gabriele Piraino | 1 | false | absent | finished | 2 | 0
13385608 | 1737788400 | ITF M15 Antalya 3 Men | ITF Men | Semifinals | Mirza Bašić | Gabriele Piraino | 2 | false | 1 | finished | 0 | 2
13390018 | 1737878400 | ITF M15 Antalya 3 Men | ITF Men | Final | Kilian Feldbausch | Gabriele Piraino | 2 | false | 2 | finished | 0 | 2
13395123 | 1738134000 | ITF M15 Antalya 4 Men | ITF Men | Round of 32 | Gabriele Piraino | Stefan Popović | 2 | false | 1 | finished | 0 | 2
13426179 | 1738744200 | ITF M25 Antalya 5 Men | ITF Men | Round of 32 | Gabriele Piraino | I. La Cava | 1 | false | absent | finished | 2 | 0
13433939 | 1738838400 | ITF M25 Antalya 5 Men | ITF Men | Round of 16 | Gabriele Piraino | Luka Pavlović | 1 | false | 2 | finished | 1 | 1
13439461 | 1738916100 | ITF M25 Antalya 5 Men | ITF Men | Quarterfinals | John Sperle | Gabriele Piraino | 2 | false | absent | finished | 0 | 2
13447421 | 1739005200 | ITF M25 Antalya 5 Men | ITF Men | Semifinals | Daniel Michalski | Gabriele Piraino | 1 | false | absent | finished | 2 | 1
13455881 | 1739271600 | ITF M15 Valencia 2 Men | ITF Men | Round of 32 | Gabriele Piraino | Carles Cordoba | 1 | false | absent | finished | 2 | 0
13469070 | 1739440800 | ITF M15 Valencia 2 Men | ITF Men | Round of 16 | Gabriele Piraino | Imanol Lopez Morillo | 1 | false | absent | finished | 2 | 0
13473807 | 1739532600 | ITF M15 Valencia 2 Men | ITF Men | Quarterfinals | Gabriele Piraino | Carlos Lopez Montagud | 2 | false | absent | finished | 1 | 2
13529441 | 1740560400 | ITF M15 Villena 2 Men | ITF Men | Round of 32 | Gabriele Piraino | Alex Martinez | 2 | false | absent | finished | 1 | 2
13674803 | 1742977800 | ITF M15 Antalya 11 Men | ITF Men | Round of 32 | Kaya Arinc | Gabriele Piraino | 2 | false | absent | finished | 0 | 2
13678634 | 1743058800 | ITF M15 Antalya 11 Men | ITF Men | Round of 16 | Gabriel Matuszewski | Gabriele Piraino | 2 | false | absent | finished | 0 | 2
13681616 | 1743145200 | ITF M15 Antalya 11 Men | ITF Men | Quarterfinals | Sergey Fomin | Gabriele Piraino | 1 | false | absent | finished | 2 | 1
# page 4 | COUNT=20 TRUNCATED=yes HASNEXT=absent
12481843 | 1719929400 | Modena, Italy, Doubles | Challenger | Round of 16 | Brancaccio R / Piraino G | Bayldon B / Hermans M | 2 | false | 2 | finished | 1 | 2
12460824 | 1720008300 | Modena, Italy | Challenger | Round of 16 | Gabriele Piraino | Andrea Pellegrino | 2 | false | 2 | finished | 0 | 2
12511786 | 1720519800 | Padova, Singles Main, M-ITF-ITA-16A | ITF Men | Round of 32 | Ezequiel Simonit | Gabriele Piraino | 2 | false | 1 | finished | 0 | 2
12519400 | 1720621200 | Padova, Singles Main, M-ITF-ITA-16A | ITF Men | Round of 16 | Stefano D'Agostino | Gabriele Piraino | 1 | false | 1 | finished | 2 | 0
12537535 | 1721154900 | Pozoblanco, Spain | Challenger | Round of 32 | Gabriele Piraino | Steven Diez | 2 | false | 1 | finished | 0 | 2
12611447 | 1722170400 | San Marino, San Marino, Qualifying | Challenger | Qualification round 1 | Gabriele Piraino | Gonzalo Villanueva | 2 | false | 2 | finished | 0 | 2
12641651 | 1722777000 | Cordenons, Italy, Qualifying | Challenger | Qualification round 1 | Luca Castagnola | Gabriele Piraino | 1 | false | 2 | finished | 2 | 1
12667164 | 1723472100 | Todi, Italy | Challenger | Round of 32 | Gabriele Piraino | Carlos Lopez Montagud | 2 | false | 1 | finished | 0 | 2
12750954 | 1724845800 | Forli, Singles Main, M-ITF-ITA-22A | ITF Men | Round of 32 | Gabriele Piraino | Ludovico Vaccari | 1 | false | 1 | finished | 2 | 0
12748129 | 1724936100 | Forli, Singles Main, M-ITF-ITA-22A | ITF Men | Round of 16 | Gabriele Piraino | Pierluigi Basile | 2 | false | 1 | finished | 1 | 2
12779490 | 1725382800 | Bologna, Singles Main, M-ITF-ITA-27A | ITF Men | Round of 32 | Matiç Dimič | Gabriele Piraino | 2 | false | 2 | finished | 0 | 2
12785253 | 1725553500 | Bologna, Singles Main, M-ITF-ITA-27A | ITF Men | Round of 16 | Gianluca Di Nicola | Gabriele Piraino | 2 | false | 1 | finished | 0 | 2
12798116 | 1725642000 | Bologna, Singles Main, M-ITF-ITA-27A | ITF Men | Quarterfinals | Federico Iannaccone | Gabriele Piraino | 2 | false | absent | finished | absent | absent
12799235 | 1725722100 | Bologna, Singles Main, M-ITF-ITA-27A | ITF Men | Semifinals | Kirill Kivattsev | Gabriele Piraino | 2 | false | 2 | finished | 1 | 2
12805054 | 1725786000 | Bologna, Singles Main, M-ITF-ITA-27A | ITF Men | Final | Mathys Erhard | Gabriele Piraino | 2 | false | 1 | finished | 1 | 2
12852796 | 1726564200 | S. Margherita Di Pula, Singles Main, M-ITF-ITA-28A | ITF Men | Round of 32 | Kyle Overmyer | Gabriele Piraino | 2 | false | 1 | finished | 0 | 2
12849711 | 1726653900 | S. Margherita Di Pula, Singles Main, M-ITF-ITA-28A | ITF Men | Round of 16 | Giuseppe La Vela | Gabriele Piraino | 2 | false | 1 | finished | 0 | 2
12865856 | 1726666800 | S. Margherita Di Pula, Doubles Main, M-ITF-ITA-28A | ITF Men | Round of 16 | Ocleppo J / Picchione A | Dolce G / Piraino G | 1 | false | absent | finished | 2 | 0
12862111 | 1726732800 | S. Margherita Di Pula, Singles Main, M-ITF-ITA-28A | ITF Men | Quarterfinals | Felix Gill | Gabriele Piraino | 1 | false | 2 | finished | 2 | 0
12874231 | 1727123100 | S. Margherita Di Pula, Singles Main, M-ITF-ITA-29A | ITF Men | Round of 32 | Andrea de Marchi | Gabriele Piraino | 1 | false | 2 | finished | 2 | 0
# page 5 | COUNT=15 TRUNCATED=yes HASNEXT=absent
12171077 | 1710857700 | Loule, Doubles Main, M-ITF-POR-06A | ITF Men | Round of 16 | Fanselow S / Vale D | Caruso S / Piraino G | 2 | false | 1 | finished | 1 | 2
12174630 | 1710946800 | Loule, Singles Main, M-ITF-POR-06A | ITF Men | Round of 32 | Gabriele Piraino | Frederico Ferreira Silva | 2 | false | 1 | finished | 0 | 2
12174760 | 1711101600 | Loule, Doubles Main, M-ITF-POR-06A | ITF Men | Quarterfinals | Caruso S / Piraino G | Echeverria J / Izquierdo Luque R | 2 | false | absent | finished | absent | absent
12190933 | 1711360200 | Santa M. Di Pula, Singles Main, M-ITF-ITA-02A | ITF Men | Round of 32 | Tommaso Compagnucci | Gabriele Piraino | 2 | false | 1 | finished | 0 | 2
12193768 | 1711471200 | Santa M. Di Pula, Doubles Main, M-ITF-ITA-02A | ITF Men | Round of 16 | Castelletti L / Troebinger E | Ferrari G / Piraino G | 2 | false | 2 | finished | 0 | 2
12193966 | 1711621800 | Santa M. Di Pula, Singles Main, M-ITF-ITA-02A | ITF Men | Round of 16 | Salvatore Caruso | Gabriele Piraino | 2 | false | 1 | finished | absent | absent
12202079 | 1711701000 | Santa M. Di Pula, Singles Main, M-ITF-ITA-02A | ITF Men | Quarterfinals | Gabriele Piraino | Valentin Royer | 2 | false | 2 | finished | 0 | 2
12198023 | 1711717200 | Santa M. Di Pula, Doubles Main, M-ITF-ITA-02A | ITF Men | Quarterfinals | Compagnucci N / Compagnucci T | Ferrari G / Piraino G | 2 | false | 2 | finished | 0 | 2
12205645 | 1711787400 | Santa M. Di Pula, Doubles Main, M-ITF-ITA-02A | ITF Men | Semifinals | Ferrari G / Piraino G | Tresca G / Virgili A | 2 | false | 1 | finished | 0 | 2
12211950 | 1711961100 | S. Margherita di Pula, Singles Main, M-ITF-ITA-03A | ITF Men | Round of 32 | Gabriele Piraino | Niccolo Ciavarella | 2 | false | 2 | finished | 0 | 2
12215365 | 1712148300 | S. Margherita di Pula, Doubles Main, M-ITF-ITA-03A | ITF Men | Round of 16 | Sakellaridis D / Sakellaridis M | Ciavarella N / Piraino G | 2 | false | 2 | finished | 0 | 2
12220776 | 1712304000 | S. Margherita di Pula, Doubles Main, M-ITF-ITA-03A | ITF Men | Quarterfinals | Ciavarella N / Piraino G | D Agostino S / Fellin C | 2 | false | absent | finished | absent | absent
12253102 | 1713257700 | S. Margherita Di Pula, Singles Main, M-ITF-ITA-05A | ITF Men | Round of 32 | Alexander Klintcharov | Gabriele Piraino | 2 | false | 1 | finished | 0 | 2
12253457 | 1713277800 | S. Margherita Di Pula, Doubles Main, M-ITF-ITA-05A | ITF Men | Round of 16 | Donders D / Pontjodikromo S | Piraino G / Sorrentino L | 2 | false | 2 | finished | 0 | 2
12257043 | 1713340800 | S. Margherita Di Pula, Singles Main, M-ITF-ITA-05A | ITF Men | Round of 16 | Oleksii Krutykh | Gabriele Piraino | 2 | false | 2 | finished | 1 | 2
# page 6 | COUNT=17 TRUNCATED=yes HASNEXT=absent
11706971 | 1696416900 | S. Margherita Di Pula, Singles, M-ITF-ITA-27A | ITF Men | Round of 16 | Gabriele Piraino | Giannicola Misasi | 1 | false | 2 | finished | 2 | 0
11705608 | 1696428600 | S. Margherita Di Pula, Doubles, M-ITF-ITA-27B | ITF Men | Round of 16 | Compagnucci T / Cortegiani A | Piraino G / Serafini M | 2 | false | 2 | finished | 0 | 2
11709585 | 1696496400 | S. Margherita Di Pula, Singles, M-ITF-ITA-27A | ITF Men | Quarterfinals | Gabriele Piraino | Marcello Serafini | 1 | false | 1 | finished | 2 | 1
11709941 | 1696513500 | S. Margherita Di Pula, Doubles, M-ITF-ITA-27B | ITF Men | Quarterfinals | Kivattsev K / Mishkin K | Piraino G / Serafini M | 2 | false | 2 | finished | 1 | 2
11712934 | 1696582800 | S. Margherita Di Pula, Singles, M-ITF-ITA-27A | ITF Men | Semifinals | Gonçalo Oliveira | Gabriele Piraino | 2 | false | 1 | finished | 1 | 2
11713189 | 1696600800 | S. Margherita Di Pula, Doubles, M-ITF-ITA-27B | ITF Men | Semifinals | Piraino G / Serafini M | R. Matsuda / A. Virgili | 2 | false | absent | finished | absent | absent
11716400 | 1696668900 | S. Margherita Di Pula, Singles, M-ITF-ITA-27A | ITF Men | Final | Gabriele Piraino | Nikolas Sanchez Izquierdo | 2 | false | 2 | finished | 0 | 2
11725641 | 1696931100 | S. Margherita Di Pula, Singles Main, M-ITF-ITA-28A | ITF Men | Round of 32 | Gabriele Piraino | Giovanni Fonio | 2 | false | 2 | finished | 0 | 2
11766959 | 1698054300 | S. Margherita Di Pula, Singles, M-ITF-ITA-30A | ITF Men | Round of 32 | Oriol Roca Batalla | Gabriele Piraino | 1 | false | 2 | finished | 2 | 0
11827901 | 1700037000 | Monastir, Singles Main, M-ITF-TUN-52A | ITF Men | Round of 32 | Gabriele Piraino | Ergi Kirkin | 2 | false | 1 | finished | 0 | 2
11827916 | 1700059200 | Monastir, Doubles Main, M-ITF-TUN-52A | ITF Men | Round of 16 | Caruso S / Piraino G | F. Andaloro / S. H. Reguig | 2 | false | absent | canceled | absent | absent
11862083 | 1701160200 | San Greg. di Catania, Singles, M-ITF-ITA-35A | ITF Men | Round of 32 | Gabriele Piraino | Elio Ribeiro Lago | 1 | false | 1 | finished | 2 | 1
11862076 | 1701183300 | San Greg. di Catania, Doubles, M-ITF-ITA-35A | ITF Men | Round of 16 | Marino P / Piraino G | de Vincentis M / Ribeiro Lago E J | 2 | false | absent | finished | absent | absent
11864792 | 1701252600 | San Greg. di Catania, Singles, M-ITF-ITA-35A | ITF Men | Round of 16 | Gabriele Piraino | Alessandro Ingarao | 1 | false | 2 | finished | 2 | 0
11867472 | 1701340200 | San Greg. di Catania, Singles, M-ITF-ITA-35A | ITF Men | Quarterfinals | Gabriele Piraino | Filippo Romano | 1 | false | 1 | finished | 2 | 0
11869203 | 1701437700 | San Greg. di Catania, Singles, M-ITF-ITA-35A | ITF Men | Semifinals | Salvatore Caruso | Gabriele Piraino | 2 | false | 1 | finished | 0 | 2
11871510 | 1701513000 | San Greg. di Catania, Singles, M-ITF-ITA-35A | ITF Men | Final | Gabriele Piraino | Pol Martin Tiffon | 2 | false | 1 | finished | 0 | 2
# page 7 | COUNT=18 TRUNCATED=yes HASNEXT=absent
11368995 | 1687528800 | Cattolica, Doubles Main, M-ITF-ITA-19A | ITF Men | Final | Piraino G / Romano F | Ricca G / Virgili A | 1 | false | 1 | finished | 2 | 0
11376286 | 1687700700 | Modena, Italy, Qualifying | Challenger | Qualification round 1 | Mathias Bourgue | Gabriele Piraino | 1 | false | absent | finished | 2 | 0
11397821 | 1688284800 | Milan, Italy, Qualifying | Challenger | Qualification round 1 | Gabriele Piraino | Alex Marti Pujolras | 2 | false | absent | finished | 0 | 2
11397753 | 1688551200 | Milan, Italy, Doubles | Challenger | Round of 16 | Popko D / Taberner C | Piraino G / Rottoli L | 1 | false | absent | finished | 2 | 0
11417366 | 1688905800 | San Benedetto Del Tronto, Italy, Qualifying | Challenger | Qualification round 1 | Gabriele Piraino | Lorenzo Rottoli | 1 | false | absent | finished | 2 | 0
11419810 | 1688988900 | San Benedetto Del Tronto, Italy, Qualifying | Challenger | Qualification round 1 | Dmitry Popko | Gabriele Piraino | 1 | false | absent | finished | 2 | 0
11424262 | 1689097500 | San Benedetto Del Tronto, Italy | Challenger | Round of 32 | Gabriele Piraino | Ricardas Berankis | 2 | false | absent | finished | 0 | 2
11437134 | 1689670800 | Trieste, Italy | Challenger | Round of 32 | Zdenek Kolar | Gabriele Piraino | 1 | false | absent | finished | 2 | 1
11436151 | 1689764100 | Trieste, Italy, Doubles | Challenger | Round of 16 | Piraino G / Serafini M | Chepelev A / Golubev D | 1 | false | absent | finished | 2 | 0
11425260 | 1689868800 | Trieste, Italy, Doubles | Challenger | Quarterfinals | Piraino G / Serafini M | Bortolotti M / Pellegrino A | 2 | false | absent | finished | 0 | 2
11468195 | 1690302600 | Perugia, Doubles Main, M-ITF-ITA-16A | ITF Men | Round of 16 | Marino P / Piraino G | Militi Ribaldi A / Perfetti N | 2 | false | 1 | finished | 1 | 2
11472430 | 1690390800 | Perugia, Singles Main, M-ITF-ITA-16A | ITF Men | Round of 32 | Luciano Carraro | Gabriele Piraino | 2 | false | 2 | finished | 0 | 2
11468862 | 1690462800 | Perugia, Singles Main, M-ITF-ITA-16A | ITF Men | Round of 16 | Niccolo Catini | Gabriele Piraino | 2 | false | 2 | finished | 0 | 2
11480525 | 1690556400 | Perugia, Singles Main, M-ITF-ITA-16A | ITF Men | Quarterfinals | Manuel Mazza | Gabriele Piraino | 1 | false | 1 | finished | 2 | 0
11486825 | 1690718700 | San Marino, San Marino, Qualifying | Challenger | Qualification round 1 | Gabriele Piraino | Enrico Dalla Valle | 2 | false | absent | finished | 0 | 2
11531665 | 1691924100 | Todi, Italy, Qualifying | Challenger | Qualification round 1 | Miljan Zekic | Gabriele Piraino | 1 | false | absent | finished | 2 | 0
11557028 | 1692529800 | Prague 3, Czech Republic, Qualifying | Challenger | Qualification round 1 | Niki Kaliyanda Poonacha | Gabriele Piraino | 1 | false | absent | finished | 2 | 0
11549779 | 1693276800 | Forli, Singles Main, M-ITF-ITA-24B | ITF Men | Round of 32 | Alexander Binda | Gabriele Piraino | 2 | false | 2 | finished | 0 | 2
# page 8 | COUNT=17 TRUNCATED=yes HASNEXT=absent
11148377 | 1679473800 | Palmanova, Singles Main, M-ITF-ESP-05A | ITF Men | Round of 32 | Gabriele Piraino | Peetu Pohjola | 1 | false | 1 | finished | 2 | 0
